"","solID","mape","decomp.rssd","nrmse","tv_S","ooh_S","print_S","facebook_S","search_S","cluster","top_sol"
"1","1_170_5",0,0.0131025600945424,0.0610032156675913,0.908813891341652,0.928856765584082,0.309473714534746,0.899360661202402,0.908628502161978,4,TRUE
"2","1_179_2",0,0.0129378580440916,0.0610113567148196,0.90833564198742,0.925846651931699,0.308785042566214,0.899193630694713,0.914126714366527,4,FALSE
"3","1_222_1",0,0.01548250590701,0.0609784686330608,0.907386942512835,0.934462507558531,0.301569952221202,0.905987886287331,1,4,FALSE
"4","2_232_5",0,0.132851737310607,0.0505280124348571,0.067402787733159,0.139894800575672,0.153629999856581,0.184743075214575,0.378794115028071,1,TRUE
"5","2_267_2",0,0.116596760388705,0.0510139512941487,0.0479073439352421,0.233563491716967,0.158816618977992,0.24264838081022,0.424476830855573,1,FALSE
"6","2_267_3",0,0.181177384431252,0.0492835746673865,0.297103604959225,0.175070214883445,0.0714478846717208,0.139302029642605,0.181178443719763,1,FALSE
"7","2_270_6",0,0.128580034761974,0.0506982243949447,0.003774775077172,0.124574232071641,0.0598686437216347,0.19578752724363,0.250138949633756,1,FALSE
"8","2_279_3",0,0.131513821344284,0.0506152515649319,0,0,0.0690985677192188,0.203504080352289,0.247021925747688,1,FALSE
"9","2_279_7",0,0.126873665158043,0.050785999641942,0.216952588023447,0.222783403375957,0.0713353216314413,0.199503237471898,0.520756623112437,1,FALSE
"10","3_198_7",0,0.25483608392649,0.048871507092341,0.511006856623466,0.274599608430401,0.673267955510854,0,0.142292450936319,2,TRUE
"11","3_212_6",0,0.223521418617228,0.0488844644363419,0.518438732638192,0.278233481115753,0.679305887458054,0.123215256711138,0.0665953992939864,2,FALSE
"12","3_223_1",0,0.137115421745643,0.0504414721985498,0.550631430693778,0.306589734071609,0.640814798494635,0.292723200054821,0.674509652646162,2,FALSE
"13","3_234_5",0,0.121366833727382,0.0508827465292657,0.709700919428609,0.424592260401023,0.464288024008214,0.364421238005974,0.724475549157813,3,TRUE
"14","3_245_4",0,0.0578356451915846,0.0531646732723066,0.517380242673937,0.526525492625406,0.353504311698489,0.598624878123012,0.913239829579602,3,FALSE
"15","3_252_1",0,0.173484327485367,0.0491424676433816,0.568030451006565,0.354460320290337,0.420528945949516,0.168488151595763,0.39909989879606,2,FALSE
"16","3_274_5",0,0.0948684981214355,0.051174158308038,0.567923939836184,0.456640790830683,0.445925989715284,0.403019888823429,0.710224360395382,3,FALSE
"17","3_277_6",0,0.24426736594099,0.048883917491746,0.605192542634453,0.25548608919174,0.485744410438093,0.120863917174281,0,2,FALSE
"18","3_278_1",0,0.133359524334889,0.0505192224489257,0.741302108086209,0.449343406002339,0.306749769186335,0.332767319792537,0.56952437125866,3,FALSE
"19","3_286_3",0,0.228350111159763,0.04898792030913,0.440281470871642,0.353677111518405,0.62003304727323,0.0324248643100483,0.171644843286105,2,FALSE
"20","4_173_7",0,0.0178661116925527,0.056764401674717,0.830178231935665,0.8544708309631,0.309795191312209,1,0.966415162624841,4,FALSE
"21","4_182_4",0,0.0116334758077863,0.0567172913415789,0.817118643690772,0.8106356289493,0.328485809276551,0.930032653100615,0.916799408638831,4,FALSE
"22","4_206_7",0,0.0630554613539452,0.0525252394083278,0.197773264721328,0.131375763007343,0,0.447082917486985,0.423673136524729,1,FALSE
"23","4_219_7",0,0.0705474027146267,0.0525300169271781,0.296348890608382,0.348064896190741,0.282199351209502,0.436664761166362,0.430553897972597,1,FALSE
"24","4_223_1",0,0.0817917889268689,0.0517432802871912,0.153575488336142,0.216698668098015,0.0241851493089891,0.319013294501152,0.425089543071263,1,FALSE
"25","4_224_6",0,0.134655468657949,0.0505023693594345,0.216404174878402,0.241162560884332,0.328165469095644,0.203802519086836,0.439623088569047,1,FALSE
"26","4_226_7",0,0.249143467296434,0.0488210374541162,0.639160931262181,0.23360215322906,0.564879922506029,0.101812173558499,0.0588155131872492,2,FALSE
"27","4_229_7",0,0.126915015660027,0.0507681071628482,0.21428745169901,0.0919640279011082,0.00347483644841491,0.2329876051255,0.364289755602806,1,FALSE
"28","4_233_7",0,0.248768956415878,0.0488330505017509,0.599760693546243,0.183477994343448,0.484611568661641,0.133494189821111,0.00861200905619853,2,FALSE
"29","4_237_2",0,0.102729659937606,0.0512800882812832,0.0996254340257536,0.210520702753848,0.0528899347563829,0.256487654536978,0.396355272878105,1,FALSE
"30","4_241_5",0,0.0929124313741286,0.0514503978848947,0.0700057047152766,0.231154281907425,0.0163413089805346,0.296290253334574,0.315836448987644,1,FALSE
"31","4_241_6",0,0.102921034861185,0.0510784802733672,0.467157963911613,0.315012645264674,0.152894510536421,0.349210334231512,0.697746126580361,3,FALSE
"32","4_245_7",0,0.094098120714066,0.0514489319483227,0.0701172581720521,0.24071873206258,0.0165512557263267,0.295606731780809,0.315303283231819,1,FALSE
"33","4_246_1",0,0.0978178783869651,0.0510908895099461,0.469518042017981,0.318601938202991,0.153673634819573,0.368823588033436,0.693265778650225,3,FALSE
"34","4_246_2",0,0.138711957532385,0.0502641221108393,0.410010050444344,0.194191799318436,0.0541184788649427,0.250135440257382,0.420470046732413,1,FALSE
